model,raw_KNN_acc,raw_KNN_f1,raw_KNN_roc_auc,raw_LR_acc,raw_LR_f1,raw_LR_roc_auc,refined_KNN_acc,refined_KNN_f1,refined_KNN_roc_auc,refined_LR_acc,refined_LR_f1,refined_LR_roc_auc,Δ_KNN_acc,Δ_KNN_f1,Δ_KNN_roc_auc,Δ_LR_acc,Δ_LR_f1,Δ_LR_roc_auc
ResNet18,0.8669,0.8548,0.9004,0.8649,0.8507,0.9258,0.8588,0.8458,0.891,0.8076,0.7862,0.8497,-0.0082,-0.0089,-0.0094,-0.0573,-0.0645,-0.0761
CONCH,0.7165,0.6963,0.7749,0.7973,0.783,0.8695,0.6919,0.65,0.7502,0.7707,0.7504,0.8403,-0.0246,-0.0462,-0.0247,-0.0266,-0.0326,-0.0292
UNI,0.7544,0.7345,0.813,0.8086,0.7969,0.8845,0.696,0.6513,0.7245,0.7462,0.7267,0.8306,-0.0583,-0.0833,-0.0885,-0.0624,-0.0703,-0.0539
